Categoria,Conta,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05
Moradia,Aluguel,"R$3.500,00","R$3.500,00","R$3.700,00","R$3.700,00","R$3.700,00","R$3.700,00","R$4.000,00","R$4.000,00","R$4.000,00",,
,Condomínio,"R$550,00","R$550,00","R$680,00","R$680,00","R$680,00","R$680,00","R$800,00","R$800,00","R$800,00",,
,Conta de Agua,"R$113,30","R$87,78","R$49,69","R$49,98","R$49,98","R$71,18","R$50,54","R$50,54","R$50,54",,
,Conta de Luz,"R$133,38","R$109,82","R$109,26","R$121,83","R$175,84","R$149,20","R$173,59","R$143,75","R$162,84",,
,Internet,"R$205,00","R$205,00","R$205,00","R$205,00","R$205,00","R$205,00","R$205,00","R$205,00","R$205,00",,
Lazer,Spotify,"R$21,90","R$21,90","R$21,90","R$21,90","R$21,90","R$21,90","R$21,90","R$21,90","R$21,90",,
,Netflix,"R$14,99","R$85,00","R$85,00","R$85,00","R$60,00","R$60,00","R$45,00","R$0,00","R$0,00",,
,Xbox,"R$0,00","R$680,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
,Viagens,"R$408,00","R$102,00","R$102,00","R$0,00","R$0,00","R$100,00","R$0,00","R$0,00","R$0,00",,
,Festas,"R$632,70","R$0,00","R$50,00","R$0,00","R$0,00","R$0,00","R$45,00","R$0,00","R$0,00",,
,Presentes,"R$150,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
Outros,Cabelo/Barba,"R$70,00","R$70,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
,INSS,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
,Internet movel,"R$90,00","R$90,00","R$30,00","R$15,00","R$15,00","R$15,00","R$15,00","R$15,00","R$0,00",,
,Restaurantes,"R$217,50","R$166,00","R$169,40","R$288,10","R$139,80","R$42,00","R$42,50","R$0,00","R$0,00",,
,Roupas,"R$0,00","R$0,00","R$0,00","R$6,90","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
,Saude/Farmacos,"R$200,00","R$0,00","R$49,00","R$0,00","R$24,90","R$0,00","R$0,00","R$0,00","R$14,90",,
Total,,"R$6.306,77","R$5.667,50","R$5.251,25","R$5.173,71","R$5.072,42","R$5.044,28","R$5.398,53","R$5.236,19","R$5.255,18","R$0,00","R$0,00"
