Categoria,Conta,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05
Carro,Combustivel,"R$200,00","R$126,58","R$260,17","R$0,00","R$278,10","R$339,42","R$0,00","R$240,65","R$0,00",,
,Impostos,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$1.082,63","R$0,00","R$0,00",,
,Lavagem,"R$80,00","R$80,00","R$80,00","R$40,00","R$40,00","R$40,00","R$40,00","R$0,00","R$0,00",,
,Manutencao,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
,Pedagio,"R$0,00","R$0,00","R$10,10","R$15,90","R$5,80","R$17,60","R$0,00","R$0,00","R$0,00",,
,Oleo,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
Moto,Combustivel,"R$0,00","R$139,66","R$49,15","R$0,00","R$0,00","R$44,01","R$0,00","R$0,00","R$0,00",,
,Impostos,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$164,91","R$0,00","R$0,00",,
,Lavagem,"R$45,00","R$45,00","R$50,00","R$50,00","R$50,00","R$50,00","R$0,00","R$0,00","R$0,00",,
,Manutencao,"R$0,00","R$99,00","R$346,29","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
,Pedagio,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
,Oleo,"R$0,00","R$105,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
Outros,Cateira Habilitacao,"R$0,00","R$0,00","R$0,00","R$244,38","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
,Onibus,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
,Uber,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$17,40","R$0,00","R$0,00","R$0,00",,
,Aviao,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00",,
Total,,"R$325,00","R$595,24","R$795,71","R$350,28","R$373,90","R$508,43","R$1.287,54","R$240,65","R$0,00","R$0,00","R$0,00"
